,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,Popo_Density_Per_Hector
20,"Census Tract 4409, Baltimore County, Maryland",3904.00,1455.00,936.00,18.60,35.70,2.68,3.33,6.60,58.00,0.00,0.00,10.00,8.70,92.80,0.60,76.50,25.10,4.30,5.50,39.10,17.30,5.00,5.90,7.60,0.00,2.10,7.80,23.90,0.70,74986.00,26.80,2.30,8.90,0.00,41164.00,51403.00,45225.00,67.70,67.70,7.60,4.20,14.10,10.40,1478.00,98.40,0.00,2.90,1478.00,24,005,440900,1.60,3.50,0.30,0.80,1455.00,46.50,778.00,3.08,3.80,28.50,0.00,7.80,24.70,0.00,1762.00,1128.00,8.60,14.50,1.60,0.30,38.20,3904.00,192,1,0.04918032786885246
21,"Census Tract 4411.02, Baltimore County, Maryland",4883.00,1789.00,1176.00,11.90,34.30,2.73,3.40,5.40,0.00,10.10,0.00,7.60,7.20,86.90,0.00,87.10,16.60,12.10,8.00,33.00,17.40,17.60,11.00,11.70,0.00,5.30,7.00,18.90,5.00,75324.00,45.30,2.10,8.20,7.60,42009.00,50018.00,47847.00,69.90,69.90,3.70,5.20,0.00,36.50,1858.00,96.30,0.50,7.90,1858.00,24,005,441102,4.90,0.00,0.40,0.60,1789.00,85.60,258.00,2.56,3.30,26.80,1.00,10.00,30.80,3.60,1543.00,978.00,5.90,27.60,3.70,0.00,70.40,4883.00,259,5,0.05304116321933238
22,"Census Tract 4906.03, Baltimore County, Maryland",2272.00,934.00,562.00,6.00,39.80,2.35,3.13,3.10,0.00,0.00,0.00,3.10,4.80,87.00,1.00,85.30,16.10,13.60,2.30,75.30,5.70,8.60,11.60,12.20,0.00,7.00,4.00,15.30,21.70,140773.00,30.90,1.90,0.00,31.50,63526.00,80179.00,69107.00,91.10,91.10,1.10,1.10,0.00,20.00,999.00,93.50,0.00,7.70,999.00,24,005,490603,11.30,0.00,1.90,8.60,934.00,75.70,227.00,2.54,8.10,22.60,0.70,0.60,0.00,20.40,2143.00,1379.00,7.50,22.80,0.80,0.00,89.30,2272.00,106,1,0.04665492957746479
23,"Census Tract 4907.03, Baltimore County, Maryland",3215.00,1427.00,717.00,5.60,49.80,2.23,3.16,6.60,134.00,0.00,42.10,0.00,7.20,81.90,0.40,84.40,13.40,21.30,4.00,69.20,7.70,2.60,16.70,17.10,0.00,4.30,0.70,13.00,13.90,119300.00,23.70,3.60,5.60,26.40,64315.00,86528.00,61696.00,90.00,90.00,1.80,5.40,46.50,35.10,1496.00,95.40,0.00,6.10,1496.00,24,005,490703,39.50,0.70,4.30,7.80,1427.00,45.00,785.00,2.70,9.70,17.30,3.10,8.40,5.00,26.50,2322.00,1704.00,4.10,21.40,1.30,0.30,73.80,3215.00,153,1,0.04758942457231726
24,"Census Tract 4501, Baltimore County, Maryland",3846.00,1464.00,901.00,9.70,38.50,2.62,3.34,6.90,55.00,34.80,29.90,12.50,9.00,90.80,0.70,95.80,2.90,29.90,5.40,28.30,14.40,9.90,4.90,16.70,0.00,7.70,14.80,3.80,0.70,87216.00,50.10,3.30,9.20,0.00,40561.00,55383.00,44857.00,70.40,70.40,4.40,4.40,41.50,44.00,1581.00,92.60,3.10,0.00,1581.00,24,005,450100,15.00,0.00,1.30,5.30,1464.00,74.90,367.00,2.94,0.00,21.70,4.40,17.40,30.10,0.90,1203.00,699.00,3.00,26.60,1.20,0.00,94.30,3846.00,912,1,0.23712948517940718
25,"Census Tract 4002, Baltimore County, Maryland",2442.00,1056.00,623.00,14.50,41.00,2.31,2.83,10.20,63.00,50.00,0.00,4.00,6.10,81.10,0.40,79.70,14.50,13.30,3.90,57.20,13.00,9.30,10.00,13.00,0.00,5.60,5.00,17.70,4.40,80205.00,12.50,3.10,4.80,4.20,45733.00,61683.00,59444.00,82.80,82.80,11.50,5.00,0.00,0.00,1144.00,92.30,0.00,0.00,1144.00,24,005,400200,0.90,0.00,2.60,0.00,1056.00,58.80,435.00,2.65,11.30,25.60,0.00,1.40,34.30,3.20,1483.00,1135.00,3.30,12.80,0.50,0.30,74.70,2442.00,92,4,0.03767403767403767
26,"Census Tract 4911, Baltimore County, Maryland",3859.00,1375.00,1090.00,11.80,20.70,2.81,3.17,3.10,0.00,0.00,0.00,0.50,7.50,90.90,0.00,79.20,19.70,11.40,4.40,62.00,12.00,5.40,10.70,12.30,0.00,4.10,6.90,10.10,14.80,124470.00,17.30,0.70,6.30,16.40,56152.00,71923.00,63636.00,79.30,79.30,3.00,4.20,24.30,29.60,1468.00,93.70,0.00,15.20,1468.00,24,005,491100,4.90,0.00,0.00,1.80,1375.00,70.00,412.00,2.87,4.20,34.10,0.00,2.30,8.90,7.70,1978.00,1069.00,6.20,10.80,0.50,1.10,64.90,3859.00,109,36,0.02824565949727909
27,"Census Tract 4001, Baltimore County, Maryland",4562.00,2251.00,892.00,4.20,60.40,1.95,3.18,4.30,0.00,21.80,0.00,4.20,4.50,87.80,0.80,89.70,12.30,13.90,4.50,52.00,14.50,5.90,12.60,4.20,0.00,3.20,17.60,13.60,4.60,88258.00,70.90,0.00,4.00,11.50,41108.00,57845.00,40341.00,72.70,72.70,2.40,8.40,0.00,100.00,2390.00,94.20,0.00,0.00,2390.00,24,005,400100,62.60,1.40,12.00,4.90,2251.00,50.90,1105.00,2.23,4.70,36.90,0.00,10.10,9.40,1.70,1763.00,2054.00,9.30,49.60,0.00,0.00,72.00,4562.00,187,11,0.04099079351161771
28,"Census Tract 4204.02, Baltimore County, Maryland",1912.00,725.00,518.00,12.60,28.60,2.64,3.14,4.10,10.00,0.00,15.80,12.10,5.40,93.10,0.00,95.80,4.00,20.80,8.70,34.20,13.40,10.80,5.80,10.10,0.00,6.80,5.80,10.80,1.40,81187.00,30.20,2.50,16.40,1.90,41607.00,50515.00,45040.00,67.20,67.20,5.80,5.20,0.00,0.00,802.00,90.40,0.00,8.00,802.00,24,005,420402,0.00,0.00,0.70,0.00,725.00,82.60,126.00,2.53,0.40,25.40,6.50,33.40,27.70,0.00,1359.00,1398.00,4.40,18.40,1.20,0.40,88.40,1912.00,63,1,0.03294979079497908
29,"Census Tract 4038.02, Baltimore County, Maryland",2846.00,1070.00,882.00,5.50,17.60,2.66,2.97,1.40,0.00,-666666666.00,-666666666.00,0.90,1.70,93.40,0.00,94.10,6.40,3.30,2.40,71.10,4.50,2.70,17.80,21.50,0.00,4.60,0.00,11.10,39.70,219107.00,39.40,0.00,0.90,45.20,85208.00,124228.00,67500.00,91.40,91.40,2.30,3.40,0.00,0.00,1157.00,92.50,3.20,0.00,1157.00,24,005,403802,0.00,2.70,0.00,0.00,1070.00,93.20,73.00,2.70,1.00,32.90,0.00,2.70,0.00,44.60,3275.00,2508.00,4.80,32.50,0.40,0.00,92.70,2846.00,966,1,0.3394237526352776
30,"Census Tract 4036.02, Baltimore County, Maryland",5767.00,2219.00,1397.00,15.60,37.00,2.60,3.39,3.50,0.00,0.00,0.00,0.70,10.10,85.10,0.00,75.70,32.20,1.90,7.10,61.70,8.40,7.60,11.70,13.60,0.00,4.20,6.40,20.60,12.80,127637.00,16.90,0.00,3.90,19.00,52756.00,82326.00,64034.00,89.00,89.00,0.70,5.60,33.30,0.00,2367.00,93.70,0.00,4.30,2367.00,24,005,403602,0.00,0.70,0.90,0.00,2219.00,56.20,972.00,2.89,2.90,31.70,0.60,0.80,7.10,23.40,1949.00,1477.00,9.10,11.00,0.40,3.50,65.10,5767.00,275,9,0.047685104907230796
31,"Census Tract 4916, Baltimore County, Maryland",3311.00,1140.00,644.00,19.60,43.50,2.74,3.60,9.90,90.00,0.00,0.00,8.00,12.30,86.70,0.20,94.00,7.80,15.00,1.60,28.90,21.60,17.30,8.30,9.00,0.00,2.20,10.90,13.50,1.90,68983.00,26.80,4.60,20.30,3.40,36646.00,51932.00,43773.00,66.80,66.80,6.50,8.10,0.00,32.00,1226.00,93.00,0.00,12.10,1226.00,24,005,491600,1.10,0.00,0.60,2.20,1140.00,58.40,474.00,2.47,4.60,26.80,4.80,33.90,48.50,0.60,1260.00,1405.00,6.80,20.80,0.00,0.30,68.10,3311.00,87,1,0.026276049531863487
32,"Census Tract 4309, Baltimore County, Maryland",4852.00,1855.00,913.00,11.90,50.80,2.61,3.56,13.50,0.00,17.20,0.00,16.10,7.70,67.10,10.40,65.40,32.10,12.80,5.10,38.00,20.40,17.50,4.00,10.80,0.00,2.70,9.60,5.20,0.80,55440.00,19.90,6.10,22.90,1.60,26841.00,37145.00,35694.00,59.40,59.40,6.60,17.60,41.50,0.00,2184.00,84.90,8.90,15.10,2184.00,24,005,430900,2.60,0.00,0.00,2.20,1855.00,31.50,1271.00,2.77,6.80,16.60,0.50,3.80,13.90,0.00,1458.00,962.00,10.00,12.90,3.80,4.80,50.60,4852.00,145,7,0.029884583676834296
