,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
10,"Census Tract 130, San Francisco County, California",4863.00,2535.00,656.00,0.70,74.10,1.92,2.63,25.90,0.00,-666666666.00,-666666666.00,1.40,2.00,85.10,0.00,85.70,8.20,14.00,2.70,73.40,0.80,8.40,21.10,35.50,0.40,2.20,3.60,6.70,37.60,210760.00,16.80,0.70,1.50,51.80,93634.00,116200.00,101146.00,95.40,95.40,0.00,5.50,0.00,0.00,2669.00,95.00,0.00,3.10,2669.00,06,075,013000,22.70,0.80,8.80,14.80,2535.00,20.20,2023.00,2.54,9.30,19.30,0.00,0.00,0.00,0.00,3740.00,2169.00,4.00,12.30,0.00,3.20,89.80,4863.00,36,7953,low,0.01
11,"Census Tract 260.02, San Francisco County, California",3527.00,976.00,706.00,19.80,27.70,3.26,3.51,13.70,12.00,0.00,0.00,8.20,5.50,91.20,0.50,56.30,56.50,4.20,4.60,41.10,15.80,12.70,6.90,15.00,0.00,0.80,4.30,17.90,14.70,151752.00,28.60,3.90,4.50,13.20,39036.00,48500.00,61250.00,75.30,75.30,2.50,2.50,0.00,6.80,1039.00,93.90,0.00,0.00,1039.00,06,075,026002,1.00,0.60,0.30,0.60,976.00,79.10,204.00,3.09,0.00,24.60,0.90,0.00,0.80,64.20,2707.00,2145.00,3.20,22.60,1.10,2.80,41.20,3527.00,35,3434,low,0.01
12,"Census Tract 264.02, San Francisco County, California",5164.00,1214.00,897.00,16.00,26.10,4.23,4.37,17.70,125.00,3.20,3.20,6.80,7.40,84.10,1.50,50.00,66.30,2.80,2.70,27.40,25.50,15.60,3.10,12.90,0.00,1.70,4.50,17.90,12.40,108177.00,33.40,0.70,5.40,9.70,32162.00,40850.00,45862.00,68.80,68.80,8.10,8.10,0.00,17.50,1246.00,97.40,0.00,0.00,1246.00,06,075,026402,0.00,0.00,1.40,0.00,1214.00,66.70,404.00,3.96,0.00,30.70,0.00,2.00,0.00,77.30,2607.00,2380.00,8.40,14.30,1.30,1.10,17.90,5164.00,41,3939,low,0.01
13,"Census Tract 303.01, San Francisco County, California",5663.00,2291.00,1254.00,5.10,45.30,2.44,3.02,13.60,28.00,0.00,0.00,3.20,3.30,86.50,2.10,59.70,42.80,5.50,3.70,74.40,9.40,5.20,7.40,31.00,0.00,6.70,5.00,4.60,36.60,215810.00,27.60,0.50,2.00,46.60,84929.00,126250.00,95202.00,85.90,85.90,3.20,2.90,0.00,0.00,2595.00,88.30,0.00,1.20,2595.00,06,075,030301,1.80,0.00,3.40,3.60,2291.00,57.20,981.00,2.63,2.90,26.40,0.00,0.00,1.50,20.50,4001.00,2149.00,5.20,23.00,1.40,4.50,50.30,5663.00,75,4151,low,0.01
14,"Census Tract 308, San Francisco County, California",6584.00,2278.00,1734.00,7.60,23.90,2.83,3.15,6.70,0.00,0.00,0.00,1.60,5.10,94.50,0.60,63.50,38.30,9.00,3.30,65.30,7.60,8.50,11.30,18.60,1.70,1.70,1.40,7.40,37.10,191024.00,32.70,2.20,0.00,37.80,78311.00,94513.00,81139.00,87.80,87.80,2.80,0.00,0.00,0.00,2425.00,93.90,0.00,2.70,2425.00,06,075,030800,4.20,0.00,2.10,2.90,2278.00,71.40,651.00,2.84,2.90,28.10,0.00,0.00,0.00,17.80,4001.00,2270.00,4.90,26.20,0.30,0.70,56.80,6584.00,124,7617,low,0.02
15,"Census Tract 254.02, San Francisco County, California",3284.00,1118.00,728.00,10.60,34.90,2.93,3.57,8.90,0.00,0.00,0.00,5.20,8.00,89.80,0.80,59.40,48.80,6.70,3.00,56.20,18.60,5.50,6.20,13.10,0.00,1.30,1.40,11.70,33.40,161116.00,26.10,0.90,2.90,41.90,63631.00,81435.00,68603.00,84.90,84.90,2.50,5.80,0.00,0.00,1172.00,95.40,3.90,0.00,1172.00,06,075,025402,2.00,0.80,2.00,4.70,1118.00,68.10,357.00,3.03,3.60,27.70,2.60,0.00,0.00,48.90,3236.00,1969.00,5.50,24.30,0.00,2.30,52.70,3284.00,30,3996,low,0.01
16,"Census Tract 479.01, San Francisco County, California",7597.00,2669.00,1464.00,5.40,45.10,2.80,3.90,7.50,0.00,0.00,11.60,3.50,11.60,89.10,0.30,64.60,45.60,10.10,4.20,53.60,15.20,9.00,7.90,13.30,0.30,6.80,5.00,9.40,13.80,123651.00,30.60,4.50,2.20,21.40,51063.00,61472.00,70774.00,82.70,82.70,1.70,2.30,0.00,100.00,2876.00,92.80,0.00,0.00,2876.00,06,075,047901,10.80,0.00,6.10,7.90,2669.00,55.80,1179.00,3.40,7.80,17.80,0.00,0.00,2.90,45.80,2974.00,1767.00,7.20,21.20,0.70,2.30,46.30,7597.00,116,8613,low,0.02
17,"Census Tract 262, San Francisco County, California",7583.00,1995.00,1529.00,16.70,23.40,3.75,3.98,12.40,0.00,0.00,6.70,9.60,9.20,96.00,1.00,36.90,78.00,1.50,5.70,21.50,39.00,13.40,4.60,9.10,0.20,1.50,2.70,16.20,8.10,87198.00,43.60,4.20,8.60,8.10,31280.00,50258.00,41096.00,67.40,67.40,4.70,4.00,0.00,14.80,2121.00,94.10,0.00,1.10,2121.00,06,075,026200,1.10,0.00,1.90,2.50,1995.00,64.20,715.00,4.11,0.00,31.20,0.40,0.00,0.50,77.90,2572.00,1574.00,2.20,22.50,0.00,0.90,11.20,7583.00,77,7143,low,0.01
18,"Census Tract 216, San Francisco County, California",4345.00,2116.00,1051.00,6.20,50.30,2.05,2.66,11.10,0.00,-666666666.00,-666666666.00,1.50,3.70,86.90,1.80,72.20,33.40,7.90,5.80,74.00,8.00,4.70,12.00,30.10,0.00,7.20,5.30,4.80,34.00,190660.00,27.90,0.00,1.50,41.10,87179.00,122109.00,101011.00,88.70,88.70,0.80,6.90,0.00,100.00,2200.00,96.20,2.70,0.00,2200.00,06,075,021600,22.50,0.00,5.50,2.30,2116.00,65.00,740.00,2.02,1.90,24.70,0.00,1.20,0.80,30.90,3610.00,2607.00,3.20,20.00,0.70,1.50,71.40,4345.00,59,3790,low,0.01
19,"Census Tract 309, San Francisco County, California",7314.00,2343.00,1820.00,9.90,22.30,3.11,3.17,13.60,28.00,0.00,0.00,0.00,6.30,90.00,0.20,70.80,33.60,12.60,5.00,60.30,7.10,9.40,16.20,20.40,0.70,1.10,1.50,9.90,45.70,239561.00,39.40,0.80,0.00,50.90,79157.00,105485.00,112750.00,84.70,84.70,5.20,0.80,0.00,0.00,2478.00,94.60,2.30,0.00,2478.00,06,075,030900,1.40,0.00,0.80,0.00,2343.00,93.00,165.00,3.07,0.90,31.50,0.00,0.00,0.00,12.70,4001.00,2796.00,2.00,24.00,0.00,2.90,50.50,7314.00,185,8809,low,0.03
20,"Census Tract 477.01, San Francisco County, California",4469.00,2024.00,941.00,6.60,53.50,2.21,2.92,14.40,0.00,0.00,45.20,4.10,6.00,88.40,0.70,61.10,45.20,7.10,6.60,53.10,16.20,10.40,7.10,22.90,0.00,3.50,7.70,13.30,11.20,111028.00,29.30,2.10,2.00,21.50,49638.00,73625.00,71325.00,76.10,76.10,4.80,4.40,0.00,0.00,2092.00,96.70,0.00,1.70,2092.00,06,075,047701,4.00,0.00,5.40,6.90,2024.00,35.80,1300.00,2.40,3.30,24.00,0.00,1.80,0.00,37.40,3996.00,1713.00,3.30,23.50,0.00,5.10,47.90,4469.00,36,4289,low,0.01
21,"Census Tract 477.02, San Francisco County, California",3877.00,1512.00,846.00,10.30,44.00,2.56,3.23,12.30,20.00,29.10,16.40,4.70,5.40,95.90,0.00,61.00,47.40,7.60,4.50,54.00,13.80,7.00,10.70,19.30,0.00,5.00,9.80,5.80,18.00,130690.00,25.30,3.00,3.90,21.20,52731.00,71750.00,63477.00,75.90,75.90,2.80,6.60,0.00,0.00,1710.00,88.40,0.00,0.00,1710.00,06,075,047702,1.50,0.50,3.40,9.20,1512.00,43.10,860.00,2.90,2.10,26.70,2.80,0.00,0.00,19.60,3584.00,1703.00,3.20,20.00,0.00,3.10,49.40,3877.00,35,2279,low,0.01
22,"Census Tract 605.02, San Francisco County, California",3488.00,997.00,790.00,34.00,20.80,3.50,3.85,7.00,25.00,0.00,23.40,15.50,8.00,92.40,0.10,59.10,64.50,0.10,13.20,17.20,40.90,12.20,7.10,10.40,0.00,22.60,12.10,5.60,3.70,69816.00,27.50,12.60,38.00,2.00,24455.00,48854.00,35673.00,36.50,36.50,5.00,39.20,65.90,64.20,1064.00,93.70,0.00,1.10,1064.00,06,075,060502,6.00,0.00,0.70,2.60,997.00,21.30,785.00,4.74,0.60,25.90,0.00,0.00,0.00,82.10,2363.00,338.00,6.70,10.70,0.90,0.00,10.90,3488.00,27,12420,high,0.01
23,"Census Tract 607, San Francisco County, California",12180.00,5870.00,2824.00,7.00,51.90,2.01,2.72,9.20,0.00,0.00,0.00,2.80,3.30,74.20,5.00,59.80,46.80,5.10,2.90,75.90,5.20,8.20,11.40,36.40,0.40,8.70,2.20,4.90,36.60,193079.00,10.10,2.90,2.80,42.20,101711.00,137917.00,104978.00,79.30,79.30,2.30,4.70,0.00,45.10,6596.00,89.00,2.70,3.50,6596.00,06,075,060700,96.50,9.30,19.80,10.40,5870.00,33.70,3890.00,2.25,13.20,25.10,0.00,0.00,0.00,44.70,3306.00,3017.00,6.50,8.70,0.00,2.00,43.90,12180.00,208,20526,high,0.02
24,"Census Tract 479.02, San Francisco County, California",3771.00,1516.00,820.00,12.90,45.90,2.49,3.30,9.90,0.00,0.00,0.00,4.40,11.20,87.40,1.30,65.30,41.60,11.60,3.20,55.30,14.80,6.10,6.20,26.30,0.00,3.30,2.80,10.40,13.50,127999.00,30.70,1.90,2.00,19.50,52113.00,72750.00,78000.00,79.60,79.60,4.40,3.00,5.70,10.80,1634.00,92.80,5.40,0.00,1634.00,06,075,047902,8.60,0.00,4.20,6.50,1516.00,49.50,765.00,2.98,3.20,24.60,0.00,0.00,0.00,32.00,3750.00,1930.00,5.50,26.60,3.10,4.50,57.20,3771.00,39,2689,low,0.01
25,"Census Tract 604, San Francisco County, California",1557.00,989.00,279.00,1.40,71.80,1.56,2.56,8.00,0.00,-666666666.00,-666666666.00,0.80,7.10,78.20,5.10,61.30,40.90,9.70,2.50,58.00,8.90,9.80,4.70,10.80,0.00,7.50,5.80,15.70,2.50,91462.00,40.40,0.00,0.80,6.80,57039.00,68854.00,64333.00,89.30,89.30,0.40,3.20,0.00,0.00,1058.00,93.50,0.00,5.20,1058.00,06,075,060400,87.10,0.00,22.80,43.90,989.00,17.60,815.00,1.93,8.10,20.10,0.00,0.00,2.30,69.00,3482.00,1707.00,2.80,36.90,0.00,3.60,61.80,1557.00,439,4433,low,0.28
26,"Census Tract 109, San Francisco County, California",4510.00,2547.00,811.00,3.10,68.20,1.77,2.36,19.00,0.00,-666666666.00,-666666666.00,1.10,4.20,82.90,1.20,76.30,24.80,9.80,2.00,68.60,7.50,8.90,16.10,32.20,0.00,4.60,11.30,8.00,33.10,217674.00,22.30,1.70,1.70,40.80,98527.00,118971.00,100633.00,87.30,87.30,1.00,5.10,0.00,-666666666.00,2833.00,89.90,0.00,1.40,2833.00,06,075,010900,17.10,1.80,8.00,14.30,2547.00,21.30,2005.00,1.97,5.70,19.40,0.00,0.00,0.00,33.00,4001.00,2346.00,1.00,23.30,1.70,1.20,74.20,4510.00,25,7002,low,0.01
27,"Census Tract 118, San Francisco County, California",1477.00,735.00,370.00,11.00,49.70,1.99,2.63,8.50,5.00,0.00,0.00,9.60,6.00,92.20,1.90,20.80,81.70,0.40,5.40,38.50,36.10,11.90,3.40,20.70,0.70,8.80,21.20,8.40,2.90,77577.00,26.70,1.60,5.70,1.90,25405.00,44107.00,50875.00,43.10,43.10,4.10,14.90,0.00,78.40,801.00,91.80,0.00,1.80,801.00,06,075,011800,55.30,0.00,13.20,63.90,735.00,1.60,723.00,1.50,6.40,21.60,0.00,0.00,0.00,50.00,-666666666.00,684.00,3.50,26.20,0.00,0.90,10.80,1477.00,5,2831,low,0.0
28,"Census Tract 121, San Francisco County, California",4002.00,2176.00,351.00,1.40,83.90,1.57,2.56,20.00,0.00,0.00,0.00,2.10,5.20,70.50,4.50,66.10,33.70,9.30,6.30,55.40,13.70,13.10,9.20,28.20,0.00,10.40,3.50,14.30,8.20,99990.00,10.60,0.00,4.50,21.10,51228.00,71349.00,70398.00,82.30,82.30,8.10,3.70,0.00,0.00,2341.00,93.00,8.90,0.00,2341.00,06,075,012100,75.70,1.10,26.50,45.50,2176.00,6.10,2043.00,1.38,12.80,16.60,0.00,0.00,0.00,37.60,2778.00,1673.00,2.00,8.40,0.10,2.00,61.80,4002.00,12,11059,high,0.0
29,"Census Tract 128, San Francisco County, California",4436.00,2295.00,746.00,4.40,67.50,1.93,2.93,15.70,0.00,0.00,0.00,3.10,1.90,81.20,1.10,79.50,19.30,14.00,4.00,62.50,6.80,9.20,19.80,33.60,0.00,5.40,5.70,3.90,40.00,227476.00,13.30,0.00,1.40,75.50,101629.00,118077.00,106069.00,90.40,90.40,2.80,0.00,0.00,0.00,2604.00,88.10,0.00,0.00,2604.00,06,075,012800,11.80,0.00,8.20,14.20,2295.00,33.80,1519.00,2.41,3.50,26.90,0.00,1.30,0.00,20.40,4001.00,2211.00,8.20,13.30,0.00,1.90,93.30,4436.00,49,11382,high,0.01
30,"Census Tract 155, San Francisco County, California",3532.00,2324.00,538.00,2.80,76.90,1.50,2.40,11.60,0.00,-666666666.00,-666666666.00,0.00,5.90,78.90,1.80,59.40,41.80,7.80,1.60,56.30,13.00,10.70,7.10,23.70,0.00,7.00,17.90,4.40,14.20,154303.00,39.70,2.00,2.00,27.10,72008.00,77422.00,81601.00,63.20,63.20,5.20,0.00,0.00,0.00,2558.00,90.90,0.00,5.50,2558.00,06,075,015500,65.40,0.00,22.30,27.40,2324.00,11.20,2063.00,1.50,3.00,33.40,0.00,0.00,0.00,21.10,3891.00,1322.00,1.70,41.40,1.70,2.20,59.90,3532.00,31,11676,high,0.01
31,"Census Tract 161, San Francisco County, California",5140.00,2544.00,1070.00,14.40,57.90,2.01,2.97,9.20,0.00,0.00,20.20,8.70,3.30,87.20,1.30,56.80,52.40,6.50,11.20,42.90,16.00,10.00,7.90,18.60,0.00,11.80,21.60,8.20,7.60,94104.00,24.50,4.70,13.50,1.90,29056.00,76071.00,51771.00,47.10,47.10,5.60,24.20,50.00,24.90,2888.00,88.10,0.00,1.40,2888.00,06,075,016100,62.80,2.10,11.60,14.50,2544.00,8.40,2331.00,2.39,3.90,35.60,0.00,0.00,0.00,42.70,2191.00,762.00,1.60,25.80,2.30,1.00,28.70,5140.00,36,18821,high,0.01
32,"Census Tract 163, San Francisco County, California",4745.00,2023.00,733.00,5.50,63.80,2.26,2.65,29.40,0.00,-666666666.00,-666666666.00,3.90,2.80,83.80,0.90,83.70,18.90,9.30,2.90,68.50,10.30,9.60,5.00,30.10,0.00,5.60,4.70,6.90,36.30,211009.00,16.00,4.00,5.90,34.40,83217.00,105565.00,93904.00,83.30,83.30,1.20,4.50,0.00,63.50,2174.00,93.10,7.10,0.00,2174.00,06,075,016300,17.80,0.00,10.10,11.30,2023.00,20.90,1601.00,2.61,5.00,30.40,0.00,0.00,0.00,22.70,4001.00,2153.00,5.00,9.40,0.80,4.80,73.40,4745.00,24,9799,low,0.01
33,"Census Tract 176.01, San Francisco County, California",9244.00,5273.00,1458.00,8.90,72.30,1.73,3.02,9.90,0.00,0.00,0.00,3.90,4.80,80.70,1.70,53.90,48.90,5.20,1.70,48.70,20.70,12.70,11.90,21.30,0.00,14.00,8.80,4.20,12.80,122754.00,17.00,10.30,11.20,8.20,47955.00,56981.00,75197.00,54.20,54.20,7.20,13.20,0.00,84.00,6371.00,82.80,0.00,8.10,6371.00,06,075,017601,84.90,10.10,21.30,43.10,5273.00,4.70,5026.00,2.34,2.90,27.80,0.00,0.00,0.00,78.50,2423.00,995.00,0.40,13.30,1.20,1.90,34.70,9244.00,63,116852,high,0.01
